,text
74,没事没事没事没事没什么是吗是吗是吗是吗是吗是吗是吗没撒是吗没撒是吗是吗没撒是吗是
75,叫什么是你说
76,回复@华大光伏蔡潮先生:老乡
77,广西人民发来贺电！
78,都觉得不是你
79,vhv
80,一马平川
81,不上班收拾收拾睡吧睡吧睡吧睡吧手机手机😬
82,还是就是就是就是你计算机手机
83,看谁手快实际上是是什么上哪是吗是撒没撒
84,就是就是就是
85,你说你是是男是女
86,最后一条
87,[最右]
88,回复@爱上了一只属羊的兔纸R:＋1
89,你行你上，不行别逼逼
90,巧了巧了，刚刚看完蒸发这部电影。  人家，高科技自己研究出来的a390。就废在浪费在了天空和海上。你们就这么快的研究出来了的？？？？？？？还算九年是不是别从别人那偷来的？
91,哈哈
92,厉害了
93,这样都被你逮到，哈哈
94,skss
95,bsbaabababaana
96,nsnanaanana
97,jsshwh
98,gssbsv
99,baababa
100,bzbzb
101,bhhss
102,走起
103,👍
104,照顾好自己@努力努力再努力x
105,[左哼哼]
106,mzmzmz
107,hshdgs
108,nsbsbssns
109,nznsnssnsn
110,nsnssns
111,nsnssn
112,zbsbwh
113,bzbzzb
114,我超想你的
115,跟你说话都是在浪费我的智商
116,没有人感觉到你最甜美的笑
117,没有喔利恺恺
118,回复@爱上了一只属羊的兔纸R:找到组织
119,sjsnana
120,naananan
121,nssnsnsns
122,nsnssna
123,回复@Tiniann:兴迷打卡
124,回复@GOME国美手机:你被卖片的盯上了
125,#国产大飞机首飞# 同是国产品牌，同是起步阶段，你做飞机，我做手机。
126,你打算什么时候更个博啊我的小帅哥
127,回复@卫龙食品:辣条～
128,这是要上天啊，请带上我这根辣条。
129,66666666666666
130,6666666666666
131,jj66666666666
132,666666
133,6666666666666666666
134,美国五角大楼发来贺电
135,山东人民发来贺电
136,俄罗斯人民发来贺电
137,中国厉害厉害厉害拉过来
138,中国 厉害厉害厉害厉害厉害
139,666666666666
140,nznzznzn
141,厉害
142,jshssjs
143,ksmssms
144,nsnddn
145,啊
146,shsjsjss
147,jznzsn
148,sbsbsajajajajajajaj
149,hzzhzhsh
150,keksksskssks
151,我就呵呵了
152,[转发]
153,我还相信你的
154,[xkl扭]
155,[bm咧嘴]
156,你真牛
157,可以啊
158,shshs
159,什么时候再更博
160,[江南style]
161,回复@爱上了一只属羊的兔纸R:发来贺电加一
162,天哪
163,nsnns
164,jznsnzn
165,nznzn
166,kzzmzms
167,回复@爱上了一只属羊的兔纸R:兴式同款点赞、同款祝贺
168,sshsba
169,snnssns
170,nansnan
171,ekeekememe
172,memeem
173,ksskskssm
174,jhaaha
175,nssnsnsnnsujjwwhwwhw
176,nznznznznznzznz
177,ushshs
178,sbsbsbwjshhs
179,[xkl囧]
180,被套进去了
181,太赞你了啊
182,唱歌走起
183,有小脾气了
184,不敢坐。。。
185,。。
186,，我就根本看不出来谁是谁好吗
187,那你岂不太累
188,xff
189,有人在？
190,回复@Tiniann:
191,回复@如梦拢单恋凯 的赞:都有一棵中国心
192,cncnc
193,xjcj
194,ddd
195,cncn
196,ghhb
197,xjxj
198,回复@Tiniann:论我们的爱豆每天都在看什么新闻
199,唯爱哥
200,没人了
201,快捷
202,什么工作
203,wuli超 生日快樂！！！邓超
204,不奇怪，我爱你！
205,好的
206,大飞机~有了。。。
207,赞赞赞赞赞😀
208,皮卡丘
209,中国赞
210,??总比不发好吧哈哈哈哈哈哈
211,回复@爱上了一只属羊的兔纸R:组织我到了
212,回复@Tiniann:组织，我到了
213,回复@努力努力再努力x 的赞:(*´∇｀*)   翻了1w条评论终于找到你  (来自超级星饭团)
214,厉害喽……@努力努力再努力x
215,回复@爱上了一只属羊的兔纸R:怎么才能超过楼上
216,👍❤️#张艺兴求婚大作战#   #听张艺兴祈愿# #张艺兴#   @努力努力再努力x
217,#张艺兴求婚大作战#   #听张艺兴祈愿# #张艺兴#   @努力努力再努力x
218,[传火炬]
219,回复@我的祖国在湖南:？
220,回复@央视新闻:作为官媒、喉舌，故意截取视频，断章取义，强行为优质偶像的事情洗白的行为，就过去了？作为媒体，谁给你代表法律的权利，一句优质偶像就将事件定性了，你又接受了多少利益输送？@央视新闻
221,来一个张艺兴同款赞
222,nznjssjjszznznnzn
223,jssjsnsb
224,kekeeme
225,kemem
226,kssmmskwkwlssk
227,snsnsnsnns
228,nanana
229,nsanana
230,bbssbbss
231,"w,nzbsnss"
232,nznzzn
233,hzhzzbzbzbB
234,bzzbzb
235,jshxhxbzbzbshx
236,hdshshshhssh
237,bzsbzbzbzbzbzbzbzbzbx874848848778787878877887787887877878878778787878787878787
238,hssbbs
239,jdhddhd
240,nznasnana
241,rffddddddff
0,。
1,赞👍
2,呀
3,给力
4,哦
5,
6,1
7,心动
8,a
9,点赞
10,666
11,。。
12,骄傲
13,社保局
14,现在几点啊
15,傲娇
16,实力不够强就要挨打
17,棒棒棒！
18,哇
19,只是发动机到现在都是问题，作为航空航天专业的学生也意识到了自己身上的责任。
20,不错
21,兔兔兔兔兔兔兔兔兔
22,中国制造越来越强
23,厉害
24,@min老板娘娘：中国制造是骄傲
25,厉害👍
26,自豪
27,太棒了，我的祖国
28,看看
29,果然是高大上
30,厉害了
31,好好
32,金恺路
33,？？？
34,酷
35,什么
36,哈哈
37,j
38,。。。
39,大气，中国制造。
40,真好
41,高大上，显实力！
42,。。。。。
43,高端
44,正
45,回复@__嬉皮笑脸:那不是pad
46,ipad反着用是什么操作
47,…
48,中国牛皮
49,中国智造
50,中国人
51,.
52,好啊啊
53,还能解决
54,方法
55,不懂
56,利害我的国
57,未来是光明而美丽的，爱它吧，向它突进，为它工作，迎接它，尽可能地使它成为现实吧！——车尔尼雪夫斯基
58,转发微博
59,中国的崛起
60,❤️
61,Emm
62,牛批
63,，
64,😒 😓
65,天津日报旗下八条鱼欠债7.5亿，承若兜底至今分文不还，一万多老百姓血汗钱不知所踪！强烈要求各大媒体曝光部门调查，还回我们的血汗钱！@公安部刑侦局 @澎湃新闻 @环球时报 @央视新闻 @共青团中央 @记者站网
66,👏
67,哈哈哈
68,哇塞
69,牛逼
70,z j d j d j d j d
71,看看看
72,吼吼吼
73,你
74,好
75,嗯嘛
76,支持
77,李宁Ross婆说
